name,type,block_index,num_params,mean,std,abs_mean,skewness,kurtosis,sparsity_0.7,alpha_0.7,quant_error_0.7,weight_norm_l2,effective_rank,sensitivity_ratio,ternary_friendliness
model.layers.20.self_attn.o_proj,o_proj,20,4194304,0.000010,0.018411,0.014537,-0.0146,0.8142,0.4290,0.021750,0.450653,37.7070,203.42,,
model.layers.20.mlp.gate_proj,gate_proj,20,11534336,-0.000039,0.021903,0.017249,-0.0161,0.9449,0.4294,0.025820,0.454913,74.3670,202.96,,
model.layers.20.mlp.up_proj,up_proj,20,11534336,-0.000010,0.019390,0.015411,-0.0002,0.1100,0.4257,0.022947,0.442294,65.8425,204.58,,
model.layers.20.mlp.down_proj,down_proj,20,11534336,0.000001,0.018955,0.015050,0.0046,0.7110,0.4262,0.022423,0.443673,64.3678,205.08,,
model.layers.21.self_attn.q_proj,q_proj,21,4194304,-0.000004,0.023813,0.018065,0.0019,2.8228,0.4563,0.028189,0.487867,48.7697,190.49,,
model.layers.21.self_attn.k_proj,k_proj,21,524288,0.000017,0.039536,0.030360,-0.0077,1.7494,0.4473,0.046627,0.480836,28.6272,185.27,,
model.layers.21.self_attn.v_proj,v_proj,21,524288,-0.000031,0.025861,0.020347,-0.0025,0.2509,0.4349,0.030733,0.449271,18.7257,205.52,,
model.layers.21.self_attn.o_proj,o_proj,21,4194304,-0.000003,0.019089,0.014937,0.0036,1.8274,0.4331,0.022469,0.463170,39.0950,199.12,,
model.layers.21.mlp.gate_proj,gate_proj,21,11534336,-0.000038,0.024334,0.018844,-0.0194,2.1426,0.4394,0.028593,0.475247,82.6222,199.70,,
model.layers.21.mlp.up_proj,up_proj,21,11534336,-0.000005,0.019460,0.015278,-0.0178,4.8538,0.4305,0.022894,0.460076,66.0782,202.19,,
model.layers.21.mlp.down_proj,down_proj,21,11534336,0.000005,0.018033,0.014146,0.0110,3.0871,0.4343,0.021319,0.457547,61.2348,202.96,,
lm_head,lm_head,-1,65536000,-0.000390,0.024723,0.019269,-0.1274,1.6744,0.4325,0.028975,0.470492,198.9234,199.52,1.4000,0.3782
